万主任：
以下是巢湖流域气象站点资料信息，
要绝对保密，涉及到国家机密，只能给政府部门使用

31.7833	117.3	合肥
31.6081	117.0303	肥西
31.8833	117.4667	肥东
31.5833	117.8333	巢湖
31.2667	117.2833	庐江
31.4667	116.9167	舒城
31.3333	117.8667	无为
31.8042	117.2383	十五里河
31.9	117.1717	科学岛
31.8375	117.3767	大兴
31.8722	117.2794	阜南路
31.8586	117.2994	巢湖路
31.8653	117.2386	科技园
31.9511	117.4017	瑶海磨店
31.7283	117.2947	滨湖
31.8558	117.1358	G蜀山
31.9933	117.1367	G岗集
31.7942	117.3017	包河区政府
31.6642	117.2561	牛角大圩
31.7336	117.3419	义城
31.8517	117.2008	天乐公园
31.9233	117.2047	大杨镇
31.9211	117.2689	菱湖公园区
31.9253	117.1356	三十岗
31.9022	117.2861	杏林街道
31.8372	117.2339	黄山路小学
32.0311	117.31	张桥水库
31.9144	117.38	职教城
31.7778	117.1631	桃花工业园
31.7594	117.1808	翡翠路
31.8467	117.3467	裕溪路小学
31.9311	117.0119	K005
31.9011	117.0472	K010
31.8064	117.35	K025
32.0122	117.3392	K088
31.5125	117.2403	三河
31.6636	117.0867	董岗
31.6281	116.8678	山南
31.5506	117.0881	新仓
31.76	117.0183	紫蓬
31.6981	116.8644	磨墩水库
31.5772	116.8222	洪桥
31.6386	117.2708	刘河
31.655	116.9839	花岗镇
31.5956	116.9389	柿树岗
31.7539	116.8056	铭传
31.5525	117.1719	丰乐
31.8494	117.0139	小庙
31.78	116.9394	官亭镇
31.5953	117.1775	G丰乐
31.5817	117.3217	三河西湖
31.6167	117.2833	严店
31.8106	116.8911	官亭道班
31.5656	117.2736	滨锋社区
31.6331	116.8103	长庄村
31.8364	117.46	撮镇
31.8511	117.6236	王铁
32.0689	117.4642	草庙
32.0033	117.4125	众兴
31.7617	117.5511	桥头集
32.0214	117.4286	众兴水库
31.8556	117.4503	G肥东
31.8919	117.5217	G陇西
31.9769	117.3942	G众兴
31.8333	117.6		K105
31.6603	117.4661	六家畈
31.6075	117.4606	吴大海
32.0469	117.4811	K995
31.7978	117.4947	撮镇道班
31.7389	117.5189	复兴乡
32.0767	117.3747	元瞳丰宝
31.9694	117.4842	牌坊
32.1064	117.4492	白龙镇
31.8203	117.3858	撮镇建华
31.37	117.5361	沐集
31.4314	117.6044	槐林
31.7617	117.6336	炯炀
31.5856	117.4611	中庙
31.7417	117.8747	西峰
31.8014	117.8247	下汤
31.8239	117.6819	尖山
31.7897	117.7253	柘皋镇
31.6414	117.9003	半汤
31.6158	117.5667	黄麓
31.3064	117.5786	坝镇
31.56	117.5064	航标站13
31.5519	117.5864	航标站11
31.5525	117.6725	航标站9
31.595	117.5672	黄麓下杨
31.6722	117.7272	祝荚小学
31.6725	117.6361	月亮湾
31.7444	117.8119	K082
31.7025	117.6258	烔炀道班
31.5497	117.7675	散兵桥湾
31.4619	117.6714	高林
31.4764	117.6767	姥山怀
31.8092	117.6647	庙岗乡
31.7836	117.8592	夏阁镇
31.5275	117.9083	银屏镇
31.3997	117.2033	金牛
31.4703	117.3814	白山
31.4253	117.1536	郭河
31.3389	117.0867	汤池
31.3514	117.4439	石山
31.1464	117.4322	龙桥
31.0153	117.2778	罗河
31.0489	117.44		砖桥
31.2422	117.1231	虎洞
30.9928	117.3669	张院
31.3297	117.1758	万山
31.2261	117.4581	白湖
31.1539	117.2794	沙溪
31.3964	117.4964	盛桥
31.4267	117.2639	石头
31.4114	117.5419	盛桥苍头县
31.4714	117.4342	白山小河
31.5206	117.4169	白山吴圩
31.2231	117.3944	裴岗道班
31.265	117.0556	汤池三冲
31.0789	117.5053	龙桥凌安
31.0917	117.2908	泥河沙岗
31.0572	117.4131	矾山镇
31.4919	117.2528	同大魏荡
31.0656	117.2322	罗河七桥
31.3464	117.3861	冶父山
31.2442	117.1711	柯坦陈埠
31.3556	117.2814	罗埠新村
31.1356	117.1694	乐桥黄庄
31.7881	117.755		G柘臬
31.1514	117.2453	G沙溪
31.05	117.3167	K1128
31.2222	117.1528	G陈埠
31.6847	116.5983	先生店
31.5139	116.7672	双河
31.5747	116.5625	张店
31.3536	116.5633	毛坦厂
31.63	116.525		中店
31.6222	116.6742	孙岗
31.4267	116.5736	东河口
31.6897	116.7211	椿树
31.5389	116.5014	横塘岗乡
31.4872	116.7419	施桥敬老院
31.3486	116.5236	青山堰
31.5339	117.1553	杭埠
31.4086	117.0819	百神庙
31.3197	117.0208	九一六茶园
31.2792	116.88		春秋
31.4203	116.7589	张母桥
31.31	116.7667	万佛湖
31.3739	116.9889	南港
31.2361	116.8739	汤池
31.4333	116.95		农科所
31.2244	116.54		天苍
31.1889	116.5219	查湾
31.2375	116.62		小河
31.2864	116.6508	大路
31.12	116.7278	和平
31.17	116.8561	龙眠
31.205	116.8428	油坊
31.4942	117.0994	五里桥
